,code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,4.68,5.81,12.96,18.89,3.42,3.23,5.1,3.1
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,4.59,5.96,11.35,16.60,3.90,3.63,5.81,3.24
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,4.57,6.10,10.50,16.01,3.78,3.40,5.74,3.12
44,B021,"Red gram, dal (Cajanus cajan)",6,4.49,5.87,10.26,21.50,3.23,3.94,4.26,2.32
45,B022,"Red gram, whole (Cajanus cajan)",6,4.35,5.98,10.41,20.27,3.33,3.93,4.40,2.54
46,B023,Ricebean (Vigna umbellata ),1,4.76,5.58,10.12,17.32,4.28,4.2,4.83,3.12
47,B024,"Soya bean, brown (Glycine max)",6,4.32,6.62,11.47,18.27,3.79,4.40,4.91,3.21
48,B025,"Soya bean, white (Glycine max)",1,4.33,7.33,11.4,16.78,3.89,3.24,4.62,3.32
49,C001,Agathi leaves (Sesbania grandiflora),1,7.22,4.58,10.61,15.78,5.47,4.63,4.44,3.76
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,6.55,6.10,9.22,12.75,5.59,4.45,4.62,3.69
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,6.56,5.83,9.14,12.86,5.12,4.07,4.5,3.01
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,7.89,6.61,9.91,13.04,5.93,4.93,4.89,3.76
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,8.42,5.78,10.87,11.77,6.10,5.39,5.29,3.43
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,8.34,5.4,9.74,11.98,6.1,5.31,5.23,3.42
55,C007,Basella leaves (Basella alba),2,7.42,5.18,9.22,12.97,5.71,4.83,4.61,3.44
56,C008,Bathua leaves (Chenopodium album),2,6.52,5.04,10.04,13.68,7.18,4.72,4.16,3.98
57,C009,Beet greens (Beta vulgaris),6,6.19,2.91,6.91,12.10,4.25,3.96,3.76,2.96
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,8.68,4.94,12.59,13.33,7.50,5.43,6.16,3.48
59,C011,"Betel leaves, small (Piper betle)",4,7.61,4.59,11.69,12.99,7.88,5.13,6.21,3.37
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,4.63,7.63,12.36,20.82,4.54,8.89,5.45,2.37
61,C013,"Cabbage, Chinese (Brassica rupa)",1,6.37,5.84,10.84,21.42,3.82,3.76,5.82,2.05
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,7.68,4.32,11.13,21.91,5.61,5.35,4.2,2.78
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,6.26,4.57,10.55,26.30,3.24,3.98,4.02,2.11
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,6.17,4.67,11.53,28.6,3.04,4.34,4.22,2.29
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,6.82,5.89,11.76,22.09,3.96,4.63,5.14,0.77
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,9.40,5.84,8.55,15.25,4.66,5.01,4.52,3.78
67,C019,Drumstick leaves (Moringa oleifera),3,7.18,5.56,11.94,16.87,4.60,4.00,4.79,2.87
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,6.06,5.45,13.48,11.12,5.21,4.92,3.94,3.55
69,C021,Garden cress (Lepidium sativum),2,7.15,4.41,12.48,15.7,5.79,5.06,4,3.5
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,7.30,6.04,11.78,12.63,5.17,4.31,4.88,3.40
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,6.79,6.92,12.21,12.82,5.57,4.69,4.79,3.8
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,6.76,5.3,10.33,18,5.31,5.39,4.48,2.9
73,C025,Lettuce (Lactuca sativa),3,6.51,4.77,11.32,16.10,5.68,4.51,3.80,3.00
74,C026,Mustard leaves (Brassica juncea),3,6.60,5.74,10.86,18.67,5.31,4.65,5.11,3.21
75,C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,5.86,6.58,9.58,12.86,4.87,4.76,4.61,3.48
76,C028,Parsley (Petroselinum crispum),3,7.18,4.53,11.18,12.86,5.06,4.63,4.56,3.00
77,C029,Ponnaganni (Alternanthera sessilis),2,6.83,4.67,9.32,14.56,6.02,5.4,4.46,3.25
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,5.62,6.02,11.79,14.36,5.50,5.25,4.65,3.46
79,C031,Radish leaves (Raphanus sativus),6,7.90,4.80,9.71,17.10,5.50,4.04,4.73,3.05
80,C032,Rumex leaves (Rumex patientia ),2,7.99,5,10.22,15.67,7.48,3.99,5.79,2.53
81,C033,Spinach (Spinacia oleracea),6,6.78,5.41,9.24,14.77,5.70,4.70,4.40,3.95
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,6.63,5.58,8.29,13.45,5.81,4.68,4.32,3.93
83,D001 ,Ash gourd (Benincasa hispida) ,6,5.66 ,7.83 ,10.67 ,17.95 ,5.59 ,3.99 ,4.06 ,2.88
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,4.85,4.63,14.57,11.85,4.48,7.85,5.12,3.94
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,5.62,6.07,11.88,16.07,4.76,4.68,5.50,2.83
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,4.90,13.97,7.65,8.50,5.45,4.74,4.11,4.77
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,4.79,13.01,7.83,8.74,5.26,4.75,4.26,4.61
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,5.64,12.77,8.34,8.9,5.34,4.66,4.41,4.68
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,7.18,5.95,9.15,17.27,5.08,4.64,4.86,3.08
