,code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
494,P084,Tuna (Euthynnus affinis),5,3.37,4.85,8.23,5.70,3.01,1.41,5.40,6.20,0.90,5.75
495,P085,"Tuna, striped (Katsuwonus pelamis)",1,2.7,4.96,8.16,7.11,3.93,1.79,4.29,5.4,1.63,6.03
496,P086,Valava (Chirocentrus nudus),1,3.14,4.94,8.32,7.62,3.65,1.52,4.65,5.26,1.09,5.71
497,P087,Vanjaram (Scomberomorus commerson),2,3.82,4.93,8.29,5.21,3.51,1.76,4.19,5.05,1.05,5.76
498,P088,Vela meen (Aprion virescens),1,3.61,4.82,8.12,5.45,2.34,2.21,6.17,5.51,0.93,5.65
499,P089,Vora (Siganus javus),2,3.76,4.99,8.49,6.58,2.95,1.47,5.13,5.27,0.77,5.79
500,P090,Whale shark (Galeocerdo cuvier),1,4.02,4.9,8.19,5.46,3.4,1.72,7,5.26,1.15,5.3
501,P091,Xiphinis (Xiphias gladius),1,5.94,4.68,7.9,5.92,3.51,2.05,4.82,5.07,0.77,5.27
502,P092,"Eggs, Cat fish (Ompok bimaculatus)",1,4.55,5.21,8.04,7.36,2.8,1.63,6.3,5.21,1.06,5.15
503,Q001 ,Crab (Menippe mercenaria) ,1,2.33,4.54,6.35,7.11,3.43,1.69,4.72,2.43,1.41,4.79
504,Q002,"Crab, sea (Portunus sanguinolentus)",1,2.2,4.48,7.3,7.82,3.62,1.6,4.11,4.81,0.64,4.91
505,Q003,"Lobster, brown (Thenus orientalis)",1,2.74,4.98,8.62,7.73,3.99,1.52,3.7,5.09,0.75,5.87
506,Q004,"Lobster, king size (Thenus orientalis)",1,3.22,4.37,6.45,7.53,4.24,1.91,4.83,4.33,0.88,5.38
507,Q005,Mud crab (Scylla tranquebarica),1,1.73,4.12,6.9,6.78,2.39,1.42,4.07,4.28,1.15,4.67
508,Q006,Oyster (Crassostrea sp.),1,2.34,4.56,7.08,6.06,2.21,1.16,3.87,4.76,0.92,5.31
509,Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,2.03,4.55,7.72,7.49,3.43,1.77,4.6,4.9,0.87,5.06
510,Q008,"Tiger Prawns, orange (Penaeus monodon)",1,2.11,4.67,7.39,7.93,3.81,2.04,3.68,4.9,0.71,5.13
511,R001 ,"Clam, green shell (Perna viridis ) ",1,2.42,4.44,6.43,4.12,3.62,1.3,3.71,5.61,0.92,4.92
512,R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,2.23,4.06,6.31,4.62,3.08,0.79,3.18,5.09,0.79,4.69
