0,code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
500,P090,Whale shark (Galeocerdo cuvier),1,77.59,21.83,1.48,0.82,0,0,0,0,401
501,P091,Xiphinis (Xiphias gladius),1,79.22,19.82,1.15,0.88,0,0,0,0,370
502,P092,"Eggs, Cat fish (Ompok bimaculatus)",1,69.34,24.68,1.57,5.28,0,0,0,0,600
503,Q001,Crab (Menippe mercenaria),1,79.77,10.23,1.74,1.41,0,0,0,0,343
504,Q002,"Crab, sea (Portunus sanguinolentus)",1,79.67,15.36,0.92,0.60,0,0,0,0,283
505,Q003,"Lobster, brown (Thenus orientalis)",1,81.48,15.96,1.29,0.56,0,0,0,0,292
506,Q004,"Lobster, king size (Thenus orientalis)",1,77.77,18.54,1.08,0.78,0,0,0,0,375
507,Q005,Mud crab (Scylla tranquebarica),1,83.10,10.00,2.60,0.55,0,0,0,0,190
508,Q006,Oyster (Crassostrea sp.),1,82.50,9.51,2.47,2.44,0,0,0,0,252
509,Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,82.41,14.85,0.94,0.56,0,0,0,0,273
510,Q008,"Tiger Prawns, orange (Penaeus monodon)",1,81.48,14.25,0.83,0.74,0,0,0,0,270
511,R001,"Clam, green shell (Perna viridis)",1,80.07,12.14,2.44,0.98,0,0,0,0,243
512,R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,80.27,11.82,0.85,1.34,0,0,0,0,250
513,R003,Octopus (Octopus vulgaris),1,80.45,14.71,1.21,1.12,0,0,0,0,334
514,R004,"Squid, black (Loligo sp.)",1,80.59,16.10,0.99,1.07,0,0,0,0,335
515,R005,"Squid, hard shell (Sepia pharaonis)",1,80.52,16.82,0.75,0.93,0,0,0,0,320
516,R006,"Squid, red (Loligo duvauceli)",2,80.85,16.25,1.15,1.44,0,0,0,0,329
517,R007,"Squid, white, small (Uroteuthis duvauceli )",1,79.38,17.41,1.19,1.15,0,0,0,0,353
518,S001,Cat fish (Tandanus tandanus),2,77.23,15.86,0.93,6.24,0,0,0,0,518
519,S002,Catla (Catla catla),6,78.43,17.94,0.94,2.15,0,0,0,0,394
520,S003,Freshwater Eel (Anguilla anguilla),1,75.57,20.41,1.03,2.63,0,0,0,0,451
521,S004,Gold fish (Carassius auratus),2,79.07,16.91,1.10,2.94,0,0,0,0,396
522,S005,Pangas (Pangasianodon hypophthalmus),6,68.50,17.12,1.12,16.77,0,0,0,0,852
523,S006,Rohu (Labeo rohita),6,76.34,19.71,1.28,2.39,0,0,0,0,428
524,S007,Crab (Pachygrapsus sp.),1,80.58,13.23,1.23,0.89,0,0,0,0,327
525,S008,"Prawns, big (Macrobrachium rosenbergii)",1,77.43,19.24,0.84,0.52,0,0,0,0,380
526,S009,"Prawns, small (Macrobrachium sp.)",3,82.58,13.07,0.86,0.78,0,0,0,0,297
527,S010,Tiger prawns (Macrobrachium sp.),2,83.24,14.24,0.83,0.66,0,0,0,0,284
