,code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
417,P007,Bombay duck (Harpadon nehereus),2,0.03,0.02,0.64,1.48,98.00,2784,0,0
418,P008,Bommuralu (Muraenesox cinerius),3,0.05,0.02,1.34,0.64,68.63,1004,0,0
419,P009,Cat fish (Tachysurus thalassinus),1,0.05,0.05,1.38,1.24,223,1136,0,0
420,P010,Chakla (Rachycentron canadum),5,0.06,0.04,2.37,0.67,99.11,572,0,0
421,P011,Chappal (Aluterus monoceros ),1,0.06,0.02,3.95,0.18,185,776,0,0
422,P012,Chelu (Elagatis bipinnulata),2,0.06,0.02,2.19,1.07,161,677,0,0
423,P013,Chembali (Lutjanus quinquelineatus),1,0.03,0.06,1.80,0.27,146,1221,0,0
424,P014,Eri meen (Pristipomoides filamentosus),1,0.04,0.03,2.88,0.57,190,579,0,0
425,P015,Gobro (Epinephelus diacanthus),2,0.07,0.02,1.27,0.24,43.72,302,0,0
426,P016,Guitar fish (Rhinobatus prahli),1,0.03,0.02,2.01,0.15,139,1532,0,0
427,P017,Hilsa (Tenualosa ilisha),2,0.01,0.04,2.85,2.33,120,2875,0,0
428,P018,Jallal (Arius sp.),1,0.02,0.02,3.24,0.91,89.14,627,0,0
429,P019,Jathi vela meen (Lethrinus lentjan),2,0.12,0.02,2.82,0.29,67.45,828,0,0
430,P020,Kadal bral (Synodus indicus),1,0.01,0.06,1.76,0.19,89.19,1178,0,0
431,P021,Kadali (Nemipterus mesoprion),1,0.04,0.01,1.86,0.32,184,1317,0,0
432,P022,Kalamaara (Leptomelanosoma indicum),2,0.06,0.03,2.22,0.65,160,657,0,0
433,P023,Kalava (Epinephelus coioides),1,0.06,0.05,2.24,0.22,135,1194,0,0
434,P024,Kanamayya (Lutjanus rivulatus),2,0.06,0.01,1.22,1.46,83.86,1167,0,0
435,P025,Kannadi paarai (Alectis indicus),3,0.04,0.03,1.81,1.07,67.09,561,0,0
436,P026,Karimeen (Etroplus suratensis),1,0.08,0.05,1.15,0.23,90.62,1199,0,0
437,P027,Karnagawala (Anchoa hepsetus),1,0.07,0.01,0.98,1.39,60.47,377,0,0
438,P028,Kayrai (Thunnus albacores),2,0.08,0.07,5.18,1.29,264,884,0,0
439,P029,Kiriyan (Atule mate),1,0.04,0.13,2.75,1.36,121,604,0,0
