code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
D073,"Tinda, tender (Praecitrullus fistulosus)",6,1.78±0.13,4.11±0.09,6.70±0.22,4.88±0.86,0.91±0.04,0.70±0.05,3.64±0.10,3.70±0.08,0.62±0.13,5.79±0.12
D074,"Tomato, green (Lycopersicon esculentum)",6,2.26±1.19,2.69±0.26,3.62±0.37,4.35±0.52,1.01±0.16,0.80±0.07,3.47±0.59,2.62±0.37,0.73±0.07,3.09±0.15
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,1.58±0.18,2.29±0.71,4.18±0.93,2.55±0.58,0.67±0.16,0.95±0.19,4.54±0.91,2.52±0.63,0.52±0.11,2.74±0.97
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,1.36±0.27,2.69±0.38,4.71±0.57,2.33±0.38,0.68±0.34,0.94±0.14,4.30±0.77,2.71±0.40,0.64±0.07,3.26±0.63
D077,"Zucchini, green (Cucurbita pepo)",2,1.98,4.24,5.68,4.67,0.78,0.57,4.73,3.82,0.85,5.87
D078,"Zucchini, yellow(Cucurbita pepo)",2,1.74,4.25,5.5,5.03,0.75,0.68,5.54,3.81,0.86,5.71
E001,"Apple, big (Malus domestica)",6,2.26±0.25,3.56±0.19,5.17±0.12,3.01±0.22,1.23±0.13,0.75±0.13,3.39±0.36,3.85±0.28,0.86±0.12,3.50±0.26
E002,"Apple, green (Malus domestica)",6,2.67±0.21,4.85±0.43,5.75±0.11,3.11±0.20,1.40±0.11,0.67±0.15,3.86±0.30,4.40±0.28,0.78±0.10,3.66±0.30
E003,"Apple, small (Malus domestica)",6,2.36±0.43,3.86±0.47,5.71±0.72,2.86±0.21,1.27±0.13,0.71±0.13,3.74±0.19,4.07±0.62,0.85±0.06,4.38±0.31
E004,"Apple, small, Kashmir (Malus domestica)",1,2.3,4.11,6.69,3.48,1.34,0.62,4.16,4.19,0.85,4.18
